id,english,russian
BAD4DC9047A7D59321D1E583C6CA5DCF#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
C07A392D43599828EF0EE991D32FD29C#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
C270277947C254F7877247B80F5B8046#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
D6176EDF46939B9C8CB47DAAC8F79C6F#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
DDE287B849D655991F7402A44D2C30B4#F360CC60,"""Blue Brain"" cheese",сыр «Голубой мозг»
CCD649224270BD0197A9B99CE5FAE565#61824EE1,"""Blue Brain"" cheese piece",Кусочек сыра «Голубой мозг»
3D1AD13F4952163C4228299DE2EB9961#2F2D91A2,"""Charborg"" award plushie","""Charborg"" наградная плюшевая игрушка"
E92DE73E4FA7CD5CCED6B09D05C7CBB4#8F800B0D,"""Charborg"" award plushie(?)","Наградная плюшевая игрушка(?) ""Charborg"""
357EE9674C93BAD5C48FB092319021D1#69606FFA,"""Cocktail of Peace and Fire"" hot sauce bottle",Бутылка острого соуса «Коктейль мира и огня»
824A862A4DBDBF36CD0291A70B11D0CB#3368B3D2,"""Fisherman's treasure""",«Сокровище рыбака»
B136D8EB49653A13F99FFF80C16EFAD1#3368B3D2,"""Fisherman's treasure""",«Сокровище рыбака»
DC5B0C954C9B6B2BC9AC8087EE113310#3368B3D2,"""Fisherman's treasure""","""Сокровище рыбака"""
EECAF0C94A73C457CACFD684F6053F68#3368B3D2,"""Fisherman's treasure""",«Сокровище рыбака»
0F667B284FD41847BC94A6B50176187C#9D99BDE2,"""Gooseworx"" award plushie","Наградная плюшевая игрушка ""Gooseworx"""
5D0D01C949D1D7CEEBFBF2A5226F08E4#9D99BDE2,"""Gooseworx"" award plushie","Наградная плюшевая игрушка ""Gooseworx"""
94C968344D3883F0A3C49FAC17C77DBD#9D99BDE2,"""Gooseworx"" award plushie","Наградная плюшевая игрушка ""Gooseworx"""
348CAEBA458FEE69E96951B6333D3F75#D0230319,"""I'm sure we're just hearing shapes in the clouds, but yeeg. This is beginning to creep me out. None of this lines up with any natural phenomena we know about, so at least we'll learn something. Hopefully something not terrible. Man.","""Я уверен, что мы просто прислушиваемся к миражам, но блин. Это начинает меня напрягать. Ничего из этого не совпадает с какими-либо природными явлениями, известными науке, так что хоть что-то новое мы и узнаем. Желательно, ничего ужасного. Мда."
233DD9FB46FA367084FA54A05E9382A7#8086D086,"""IGP"" award plushie. The legend. Pushed Voices of the Void to the masses.","Игрушечная награда ""IGP"". Легенда. Продвинул «Голоса Пустоты» в массы."
99B092D04B73E67C5980F18367BB5642#8086D086,"""IGP"" award plushie. The legend. Pushed Voices of the Void to the masses.","Игрушечная награда ""IGP"". Легенда. Продвинул «Голоса Пустоты» в массы."
D1EF5E51449296AC1F21919842FE182E#8086D086,"""IGP"" award plushie. The legend. Pushed Voices of the Void to the masses.","""IGP"" наградная плюшевая игрушка. Легенда. Несет Голоса из Пустоты в массы."
8EF95A294E6402580E3D28B54D85191F#47BBC9C1,"""Jolly Wangcore"" award plushie","Наградная плюшевая игрушка ""Jolly Wangcore"""
B44A50D747705C82780096A19D0BF91A#47BBC9C1,"""Jolly Wangcore"" award plushie","Игрушечная награда ""Jolly Wangcore"""
521606C54560C57B41503585DD89019A#82FDE82B,"""Keljoy"" plush","Плюшевый ""Келджой"""
B0361416475E42146FD0CDBB1D7718F7#FBA3C1C8,"""Kerfur Omega"" documents binder","Папка для документов ""Керфур Омега"""
B5B4B3B14045992B3EA4368F67706750#FBA3C1C8,"""Kerfur Omega"" documents binder","Папка для документов ""Керфур Омега"""
B88E253A4CCED1BF31094BBA8DC96216#FBA3C1C8,"""Kerfur Omega"" documents binder","Папка для документов ""Керфур Омега"""
E1CE1EBA4CA4837E12DC3DBBD8A5910E#FBA3C1C8,"""Kerfur Omega"" documents binder","Папка для документов ""Керфур Омега"""
04C08526474D12D78FC5F087AA89FF3D#0851DFAD,"""Kerfur"" blue",«Керфур» синий
06ED15FC4808F6A9CA302AA97239CEE8#0851DFAD,"""Kerfur"" blue",«Керфур» синий
07536A4B404E4811D014CF803DE906D5#0851DFAD,"""Kerfur"" blue",«Керфур» синий
07B938F448164D0B6611F9A6756DFE10#0851DFAD,"""Kerfur"" blue",«Керфур» синий
0814BAAF435E92F2E842EEAF1B6DFF8B#0851DFAD,"""Kerfur"" blue",«Керфур» синий
0E131EFA4FA71638FCAFE5A9D86506DC#0851DFAD,"""Kerfur"" blue",«Керфур» синий
0E475E464BC6D064E8D78184E1B11528#0851DFAD,"""Kerfur"" blue",«Керфур» синий
0F4CD60A4D7F68193FC136800E70C449#0851DFAD,"""Kerfur"" blue",«Керфур» синий
11223A284BA72A41ECB57180EDD379C3#0851DFAD,"""Kerfur"" blue",«Керфур» синий
1339D8CF44F7C978F24987B487E2E552#0851DFAD,"""Kerfur"" blue",«Керфур» синий
17DD207346AD11AF954A38944C2CE66F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
1B12B3B041C2CEDBC26B63BB8A34D0DB#0851DFAD,"""Kerfur"" blue",«Керфур» синий
1CDE24B44405CBB43FAFCDA6A37C3A38#0851DFAD,"""Kerfur"" blue",«Керфур» синий
1CE9D4D14D5D27EB7602DCB7A38F016F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
1FAB2FB44F8B42176BC5738E9523F323#0851DFAD,"""Kerfur"" blue",«Керфур» синий
23B56B58428E075AF9C535A42A31CA86#0851DFAD,"""Kerfur"" blue",«Керфур» синий
23BFB3AA4B356AD7A83DD38C4A7F7C42#0851DFAD,"""Kerfur"" blue","""Керфур"" синий"
2599FCCC431BCE7D4A0CAF9F3A434E27#0851DFAD,"""Kerfur"" blue",«Керфур» синий
2616C5864E1EB0C4DC2891B230FFAB5F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
2C4C9832497CCC7E1E1162A1451EF956#0851DFAD,"""Kerfur"" blue",«Керфур» синий
30EB26384F43E659B80AE4B13F472F8F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
37466F6A46862758F852B485015DFE1C#0851DFAD,"""Kerfur"" blue",«Керфур» синий
41AEC77E4D787257A0FB3CB311C59DFD#0851DFAD,"""Kerfur"" blue",«Керфур» синий
461F0AB241A4D06CC9B485945AA79DC0#0851DFAD,"""Kerfur"" blue",«Керфур» синий
4B5093B54824FFE2EC823EBF37E69430#0851DFAD,"""Kerfur"" blue",«Керфур» синий
4BAC029141585E77584BAF96B5D78DFB#0851DFAD,"""Kerfur"" blue",«Керфур» синий
4CC166FF482F340FCC62D98406562F61#0851DFAD,"""Kerfur"" blue",«Керфур» синий
4CD66B93473506661FC012A673335D90#0851DFAD,"""Kerfur"" blue",«Керфур» синий
505449F040385306EF18959FEA3ED3A8#0851DFAD,"""Kerfur"" blue",«Керфур» синий
509CD66E40DD4C7329382396CD1CED93#0851DFAD,"""Kerfur"" blue",«Керфур» синий
539B6E024BE37FF2276A879E5CC73EF3#0851DFAD,"""Kerfur"" blue",«Керфур» синий
619FF10244A1B8AF4D6AC2A411C8F15E#0851DFAD,"""Kerfur"" blue",«Керфур» синий
634B84AE4CF72AA534F2898867D3CFE5#0851DFAD,"""Kerfur"" blue",«Керфур» синий
63A702BB4BE59046A490208A7B41B560#0851DFAD,"""Kerfur"" blue",«Керфур» синий
645F68694DD7BC7148B19B9959863F12#0851DFAD,"""Kerfur"" blue",«Керфур» синий
64BA1EFE41C683FBC5BB1BAD39424DC2#0851DFAD,"""Kerfur"" blue",«Керфур» синий
685E950544F6A84F89B148AB3C25CB42#0851DFAD,"""Kerfur"" blue",«Керфур» синий
68BD2011405E005626B36290D6A3C276#0851DFAD,"""Kerfur"" blue",«Керфур» синий
6C6BD1D54E853397DE9F539A678690F6#0851DFAD,"""Kerfur"" blue",«Керфур» синий
6E2794B74524D2CF7518638901979AA5#0851DFAD,"""Kerfur"" blue",«Керфур» синий
7537403842C6BAC61A1B87835CA0C101#0851DFAD,"""Kerfur"" blue",«Керфур» синий
75AF8E6D4F61369283558B98066FE80B#0851DFAD,"""Kerfur"" blue",«Керфур» синий
793CE60A49FD87E8A6B170B5214DDD31#0851DFAD,"""Kerfur"" blue",«Керфур» синий
7A898F2043786C6130A5AAA61BA8B9A3#0851DFAD,"""Kerfur"" blue",«Керфур» синий
7E630237424E9D92A2128ABEA3C7B5E0#0851DFAD,"""Kerfur"" blue",«Керфур» синий
856829D94C1F4150A0598FB819A918AA#0851DFAD,"""Kerfur"" blue",«Керфур» синий
873D801146EC351DC38981BB795D28CD#0851DFAD,"""Kerfur"" blue",«Керфур» синий
8A6682474DA319C736440386124F26E4#0851DFAD,"""Kerfur"" blue",«Керфур» синий
9109700A4F2B4E10B60EAB923D4DC8DC#0851DFAD,"""Kerfur"" blue",«Керфур» синий
92D0A87349E2F4200460E2BD88C35A6D#0851DFAD,"""Kerfur"" blue",«Керфур» синий
941B1EC543643B207FC071846A577968#0851DFAD,"""Kerfur"" blue",«Керфур» синий
97E997A84E4843111E688FB67C3A0FB4#0851DFAD,"""Kerfur"" blue",«Керфур» синий
A146E75F4CCA135B172702B96FEDD150#0851DFAD,"""Kerfur"" blue",«Керфур» синий
A73E7EA64280180635B4B1A7453BD14F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
AB11F38F48257EC54DDC9689AF81F99F#0851DFAD,"""Kerfur"" blue",«Керфур» синий
ABC61FF644B4E8940EC26A885597F67E#0851DFAD,"""Kerfur"" blue",«Керфур» синий
ABCBBB984D74B7B307D6C29AA6BBA32A#0851DFAD,"""Kerfur"" blue",«Керфур» синий
AF744DA5411F09DB9B5F07B8AF07AE0A#0851DFAD,"""Kerfur"" blue",«Керфур» синий
B0C41FD947A10B7A80BF0782C329687D#0851DFAD,"""Kerfur"" blue",«Керфур» синий
B2EB816F442469EE12476B8DE812446A#0851DFAD,"""Kerfur"" blue",«Керфур» синий
B5E59F644D9830BE80C88D87367D21FD#0851DFAD,"""Kerfur"" blue",«Керфур» синий
BC64D33043A597D9122793A744D8845C#0851DFAD,"""Kerfur"" blue",«Керфур» синий
C7E4DAF949EB2C8EDE55EB8364329D3E#0851DFAD,"""Kerfur"" blue",«Керфур» синий
C8CB2141487D4ECA8D53BE8F51DD8F40#0851DFAD,"""Kerfur"" blue",«Керфур» синий
C94745334C89472CD7FE9F9EEC68E5D1#0851DFAD,"""Kerfur"" blue",«Керфур» синий
CDA53ECC4A058712437EDBB9477F7B22#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D03FD07944D871685D4B0999062DABD3#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D4016D084A1BBFCFA079839FFF055466#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D493901B427743D93468F7BD8EA047CF#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D4DFC31A461ADBA6EDA95D875A84A446#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D53E474844338A8133691B9A7074AADF#0851DFAD,"""Kerfur"" blue",«Керфур» синий
D788E1FB4740A170BB20D4A34E712E6C#0851DFAD,"""Kerfur"" blue",«Керфур» синий
DDC264BD4C0CDA0BD81DE7B71E1713BC#0851DFAD,"""Kerfur"" blue",«Керфур» синий
DE112CF149EF68699C4B1A866F9BE811#0851DFAD,"""Kerfur"" blue",«Керфур» синий
E15EECB64CEEABEEDF1CB38A96AC1B8E#0851DFAD,"""Kerfur"" blue",«Керфур» синий
E2E226D748F5B9A67015C791E19B7AC1#0851DFAD,"""Kerfur"" blue",«Керфур» синий
E2E54BCE43FF65821A93C28EEFFE4615#0851DFAD,"""Kerfur"" blue",«Керфур» синий
E568415B431E88555836CD8C9A1CB4E8#0851DFAD,"""Kerfur"" blue",«Керфур» синий
E7CDEFCB48B0C54384834EA550BE3912#0851DFAD,"""Kerfur"" blue",«Керфур» синий
F14907D74632DB74E96DD0AAF1D27ADC#0851DFAD,"""Kerfur"" blue",«Керфур» синий
F15F7AA541EEDAF88F2C83A2AF90CC15#0851DFAD,"""Kerfur"" blue",«Керфур» синий
F400337B42E31D61BF1E6686CB68ABE4#0851DFAD,"""Kerfur"" blue",«Керфур» синий
F42D03F54670CCBF1555F1844997BFA5#0851DFAD,"""Kerfur"" blue",«Керфур» синий
F9D0E2D94550F759A8AA64BD607B9F5D#0851DFAD,"""Kerfur"" blue",«Керфур» синий
FDD9C07E4CE517AAF95316915B10FBF1#0851DFAD,"""Kerfur"" blue",«Керфур» синий
0A1E9D5044200361B49E1DAC0B61A0A8#63B7B843,"""Kerfur"" custom","""Керфур"" пользовательский"
6455B82942443145DE6B46AEB123EF85#63B7B843,"""Kerfur"" custom","""Керфур"" обычай"
02465B8C406510569F1F3DA71AA5F4D4#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
03CF37DC402E155C97CA3FA9BCE6AB75#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
0440A4EE4672397A52FF7598D1E0EF93#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
04D6E7384D9370BEE7B1A1BE24E08C61#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
087EAB2045F8810418833E8368D50FE6#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
0EF052984D3C5DE25F89B2A6E8BEDC9F#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
0F1E711D4730CFE9A6BE0B8DBE51AD4B#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
0F8575764A176DBED2C999A3814D055D#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Керфур"" - робот-помощник, который следует за вами, составляет вам компанию, чинит сервера базы и радиотелескопов. Может управляться с компьютера вручную"
17B008984F8996D17B544C8C48BC8491#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
2301A6DF4F1E9652D1CB389663616810#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
254208BE4B06F885EE12A1A43583819F#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
255B0A944D3B3587B020CD8AFABC2A4E#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
27C253794723B049BB415892138F328F#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» - робот-помощник, который следует за вами по пятам, составляет вам компанию, может чинить спутниковые серверы"
27DAD2C34B2269D6E4107D874C8B879B#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
287271F84A40F619705EED821A18286E#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
28A9E4254C6864B93FCD07B4D6E4CE6E#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
2FB70BA0456C5ED4681CF5A48C1A1B14#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
2FE0B06D428834CF451CA8BEE79E5869#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
326407284DD7BFFCF16CE0AE0D63F6C3#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
3337C5BC4A3FD1C322448ABF60B1067D#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
3E831E824D8FDA1B410D1194388DE4AF#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
4034357E48378E32D28AB4BC50C88081#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
42B478904C5EB8C294445C9C4FEC17D0#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» — робот-помощник, следует за вами, составляет вам компанию, может чинить спутниковые серверы."
4ABF488C41541F119D6202B9E5D03C3E#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» - робот-помощник, который следует за вами по пятам, составляет вам компанию, может чинить спутниковые серверы"
